path,category,domains,ext,bytes,lines,thirdPartyVendor,binary,reviewPriority,readinessConcern,todo,fixme,hack,localStorage,sessionStorage,indexedDb,stub,mock,demo,legacy
.dockerignore,repo-config-or-root,,(none),182,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
.env.production.example,repo-config-or-root,,.example,1845,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
.github/ISSUE_TEMPLATE/bug_report.md,repo-config-or-root,,.md,1020,71,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
.github/ISSUE_TEMPLATE/feature_request.md,repo-config-or-root,,.md,1415,73,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
.github/PULL_REQUEST_TEMPLATE.md,repo-config-or-root,,.md,2392,103,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/api-security-manifest.yml,github-workflow,ops-launch-evidence,.yml,2694,80,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/ci.yml,github-workflow,,.yml,16757,484,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/container-supply-chain.yml,github-workflow,ops-launch-evidence,.yml,11308,283,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/exchange-authority.yml,github-workflow,auth-session|exchange-ledger,.yml,4994,135,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/full-suite-diagnostics.yml,github-workflow,public-ui,.yml,3850,108,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/operational-recovery.yml,github-workflow,ops-launch-evidence,.yml,3470,93,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/protected-staging-env-evidence.yml,github-workflow,ops-launch-evidence,.yml,4613,127,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/public-browser-golden-path.yml,github-workflow,,.yml,5697,163,false,false,P1-release-guard-review,stub-marker,0,0,0,0,0,0,2,0,0,0
.github/workflows/repository-audit-manifest.yml,github-workflow,ops-launch-evidence,.yml,1956,62,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/secret-scanning.yml,github-workflow,,.yml,1915,63,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/sensitive-mutation-audit.yml,github-workflow,ops-launch-evidence,.yml,4519,128,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/staging-community-challenge-scheduler-evidence.yml,github-workflow,community-arena|ops-launch-evidence,.yml,5124,134,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/staging-news-materialization-evidence.yml,github-workflow,news-growth|ops-launch-evidence,.yml,6635,158,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.github/workflows/support-deployment-bundle.yml,github-workflow,,.yml,5377,140,false,false,P1-release-guard-review,,0,0,0,0,0,0,0,0,0,0
.gitignore,repo-config-or-root,,(none),872,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
.kilo/kilo.jsonc,repo-config-or-root,,.jsonc,51,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
AGENTS.md,repo-config-or-root,,.md,327,6,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
CHANGELOG.md,repo-config-or-root,,.md,102083,1714,false,false,P3-asset-or-vendor-review,browser-persistence-marker|debt-marker|stub-marker|legacy-boundary-marker,3,0,0,7,0,0,4,0,5,11
CLAUDE.md,repo-config-or-root,,.md,11,2,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
CODE_OF_CONDUCT.md,repo-config-or-root,,.md,2276,70,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
CONTRIBUTING.md,repo-config-or-root,,.md,5026,168,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
DEPLOY_UBUNTU_24.md,repo-config-or-root,,.md,680,28,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
DEPLOY_UBUNTU_24_PRODUCTION.md,repo-config-or-root,,.md,6244,172,false,false,P2-general-review,legacy-boundary-marker,0,0,0,0,0,0,0,0,0,1
Dockerfile,repo-config-or-root,,(none),2309,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
INSTALL_MAC.md,repo-config-or-root,,.md,1034,34,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
INSTALL_MAC_NO_ERROR.md,repo-config-or-root,,.md,3095,114,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
LICENSE,repo-config-or-root,,(none),1598,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
OPENAI_LOCAL_SETUP_FA.md,repo-config-or-root,,.md,761,27,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
README.fa.md,repo-config-or-root,,.md,51340,422,false,false,P2-general-review,browser-persistence-marker|legacy-boundary-marker,0,0,0,1,1,0,0,0,0,1
README.md,repo-config-or-root,,.md,35267,418,false,false,P2-general-review,browser-persistence-marker|legacy-boundary-marker,0,0,0,1,1,0,0,0,1,2
SECURITY.md,repo-config-or-root,,.md,2910,102,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
VERIFY_PRODUCTION.sh,repo-config-or-root,,.sh,104,5,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
config/api-security-exceptions.json,repo-config-or-root,,.json,41,5,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
config/api-security-operation-overrides.json,repo-config-or-root,,.json,6045,185,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
config/eslint-correctness-baseline.json,repo-config-or-root,,.json,6932,41,false,false,P2-general-review,legacy-boundary-marker,0,0,0,0,0,0,0,0,0,5
config/secret-scanning-baseline.json,repo-config-or-root,,.json,28039,509,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/nginx/tecpey.conf,repo-config-or-root,,.conf,2252,51,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/nginx/tecpey.ssl.conf,repo-config-or-root,,.conf,2636,62,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-coin-growth-materialization.service.in,repo-config-or-root,news-growth,.in,456,19,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-coin-growth-materialization.timer,repo-config-or-root,news-growth,.timer,220,12,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-community-challenge-finalizer.service.in,repo-config-or-root,community-arena,.in,1390,50,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-community-challenge-finalizer.timer,repo-config-or-root,community-arena,.timer,360,14,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-news-materialization.service.in,repo-config-or-root,news-growth,.in,1333,49,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-news-materialization.timer,repo-config-or-root,news-growth,.timer,367,14,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-ops-alert-delivery.service.in,repo-config-or-root,,.in,1300,49,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-ops-alert-delivery.timer,repo-config-or-root,,.timer,332,14,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-tool-growth-materialization.service.in,repo-config-or-root,news-growth,.in,456,19,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-tool-growth-materialization.timer,repo-config-or-root,news-growth,.timer,220,12,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
deploy/systemd/tecpey-web.service,repo-config-or-root,,.service,538,,false,true,P2-general-review,,0,0,0,0,0,0,0,0,0,0
docker-compose.production.yml,repo-config-or-root,,.yml,3619,118,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
docs/2FA.md,documentation,auth-session,.md,4481,172,false,false,P2-general-review,,0,0,0,0,0,0,0,0,0,0
